term,spike_month,spike_rank,median_rank,improve_ratio,is_category
tinnitus relief for ringing ears,2025-12,1,2.0,0.5,False
the summer i turned pretty,2025-07,1,21.0,0.952,False
the summer i turned pretty,2025-08,1,21.0,0.952,False
tinnitus relief for ringing ears,2025-04,1,2.0,0.5,False
tinnitus relief for ringing ears,2025-10,1,2.0,0.5,False
tinnitus relief for ringing ears,2025-05,1,2.0,0.5,False
tinnitus relief for ringing ears,2025-11,1,2.0,0.5,False
the summer i turned pretty,2025-09,1,21.0,0.952,False
invincible,2025-02,1,175.5,0.994,False
hydrogen water tablets,2025-06,1,14.0,0.929,False
wicked,2025-01,1,61.5,0.984,False
reacher,2025-03,1,139.5,0.993,False
invincible,2025-03,2,175.5,0.989,False
methylene blue,2025-05,2,61.0,0.967,False
landman,2025-01,2,111.5,0.982,False
iphone 17 pro max case,2025-10,2,8.5,0.765,False
reacher,2025-02,2,139.5,0.986,False
christmas decorations,2025-11,2,10112.5,1.0,False
the accountant,2025-06,2,2195.5,0.999,False
amazon gift card,2025-12,2,12.5,0.84,False
methylene blue,2025-04,2,61.0,0.967,False
methylene blue pharmaceutical grade,2025-04,3,2979.0,0.999,False
mothers day gifts,2025-05,3,33058.0,1.0,False
tinnitus relief,2025-12,3,139.0,0.978,False
ipad,2025-07,3,15.5,0.806,False
ipad,2025-11,3,15.5,0.806,False
beast games,2025-01,3,2783.5,0.999,False
nad supplement,2025-02,3,129.5,0.977,False
toilet paper,2025-10,3,6.0,0.5,False
iphone 17 pro max case,2025-09,3,8.5,0.647,False
toilet paper,2025-08,3,6.0,0.5,False
the chosen,2025-06,3,36.0,0.917,False
methylene blue,2025-03,4,61.0,0.934,False
airpods,2025-07,4,14.5,0.724,False
the chosen,2025-04,4,36.0,0.889,False
ipad,2025-12,4,15.5,0.742,False
minecraft,2025-05,4,327.5,0.988,False
onyx storm,2025-01,4,3648.0,0.999,False
christmas tree,2025-11,4,2944.5,0.999,False
sinners,2025-06,5,970.0,0.995,False
owala,2025-08,5,24.5,0.796,False
wicked,2025-11,5,61.5,0.919,False
1923,2025-03,5,1861.0,0.997,False
fallout,2025-12,5,256.0,0.98,False
beast games,2025-02,5,2783.5,0.998,False
halloween candy,2025-10,5,116632.0,1.0,False
invincible,2025-04,5,175.5,0.972,False
wicked,2025-02,6,61.5,0.902,False
airpods,2025-11,6,14.5,0.586,False
amazon gift card,2025-08,6,12.5,0.52,False
amazon gift card,2025-05,6,12.5,0.52,False
house of david,2025-03,6,736.5,0.992,False
hydrogen water tablets,2025-09,6,14.0,0.571,False
landman,2025-12,6,111.5,0.946,False
methylene blue,2025-06,6,61.0,0.902,False
ipad,2025-10,6,15.5,0.613,False
owala,2025-11,7,24.5,0.714,False
ipad,2025-08,7,15.5,0.548,False
kindle,2025-07,7,17.0,0.588,False
wicked,2025-03,7,61.5,0.886,False
stocking stuffers,2025-12,7,14197.0,1.0,False
labubu,2025-06,7,31.5,0.778,False
reacher,2025-04,7,139.5,0.95,False
the chosen,2025-07,8,36.0,0.778,False
labubu,2025-05,8,31.5,0.746,False
halloween costumes,2025-10,8,34956.0,1.0,False
varicose veins treatment for legs,2025-09,8,140.5,0.943,False
fathers day gifts,2025-06,8,51081.5,1.0,False
akkermansia probiotic,2025-01,8,282.0,0.972,False
tattoo cover up patch,2025-08,8,57.0,0.86,False
kindle,2025-11,8,17.0,0.529,False
owala,2025-12,9,24.5,0.633,False
magnetic eyelashes,2025-04,9,48.5,0.814,False
pencil case,2025-08,9,1063.0,0.992,False
tattoo cover up makeup waterproof,2025-09,9,35.5,0.746,False
the summer i turned pretty,2025-06,9,21.0,0.571,False
moana 2,2025-02,9,6866.0,0.999,False
owala,2025-07,9,24.5,0.633,False
hazbin hotel,2025-11,10,1014.5,0.99,False
urolithin a,2025-01,10,1028.5,0.99,False
spring tops for women,2025-04,10,3375.0,0.997,False
mission impossible,2025-05,10,571.0,0.982,False
apple watch,2025-07,10,28.5,0.649,False
bee venom cream,2025-09,10,9599.0,0.999,False
halloween decorations outdoor,2025-10,10,9058.0,0.999,False
tattoo cover up makeup waterproof,2025-07,11,35.5,0.69,False
tattoo cover up makeup waterproof,2025-10,11,35.5,0.69,False
urolithin a supplement,2025-01,11,4729.5,0.998,False
minecraft,2025-06,11,327.5,0.966,False
the chosen,2025-03,11,36.0,0.694,False
the girlfriend,2025-09,11,4772.0,0.998,False
landman,2025-11,11,111.5,0.901,False
heated blanket,2025-12,11,790.5,0.986,False
methylene blue capsules,2025-04,11,677.0,0.984,False
the gorge,2025-02,11,1662.0,0.993,False
eggs,2025-01,12,38.0,0.684,False
summer dresses for women 2025,2025-05,12,572.5,0.979,False
magnetic eyelashes,2025-03,12,48.5,0.753,False
labubu,2025-08,12,31.5,0.619,False
ballard,2025-07,12,6143.0,0.998,False
gift card,2025-12,12,616.0,0.981,False
house of david,2025-04,13,736.5,0.982,False
nad supplement,2025-03,13,129.5,0.9,False
lego,2025-12,13,62.5,0.792,False
apple watch,2025-11,13,28.5,0.544,False
eggs,2025-02,13,38.0,0.658,False
tooth repair kit,2025-05,13,101.5,0.872,False
water bottle,2025-08,14,75.0,0.813,False
minecraft,2025-04,14,327.5,0.957,False
labubu,2025-07,14,31.5,0.556,False
wedding guest dress,2025-09,14,240.5,0.942,False
lego,2025-11,14,62.5,0.776,False
the substance,2025-01,14,2640.0,0.995,False
tankinis,2025-06,14,3471.0,0.996,False
sinners,2025-05,14,970.0,0.986,False
summer dresses for women 2025,2025-06,15,572.5,0.974,False
how to train your dragon,2025-07,15,536.5,0.972,False
aa batteries,2025-10,15,39.0,0.615,False
1923,2025-04,15,1861.0,0.992,False
smelling salts,2025-02,15,630.0,0.976,False
sonic the hedgehog 3,2025-03,15,179.5,0.916,False
sonic the hedgehog,2025-01,16,2130.5,0.992,False
kava kava,2025-09,16,197.0,0.919,False
christmas,2025-12,16,7555.0,0.998,False
conclave,2025-05,16,3948.0,0.996,False
conclave,2025-04,16,3948.0,0.996,False
lego,2025-07,16,62.5,0.744,False
instant face lift cream,2025-05,17,92.0,0.815,False
aa batteries,2025-12,17,39.0,0.564,False
on call,2025-01,17,7624.0,0.998,False
tattoo cover up makeup waterproof,2025-06,17,35.5,0.521,False
spring tops for women,2025-03,17,3375.0,0.995,False
the accountant,2025-04,17,2195.5,0.992,False
nintendo switch 2,2025-06,18,82.0,0.78,False
r,2025-03,18,1923.0,0.991,False
air fryer,2025-07,18,36.5,0.507,False
1923,2025-02,18,1861.0,0.99,False
mobland,2025-04,18,2153.5,0.992,False
the chosen,2025-05,18,36.0,0.5,False
shower curtain,2025-08,18,42.0,0.571,False
halloween,2025-10,18,3886.0,0.995,False
advent calendar 2025,2025-11,18,218.0,0.917,False
gifts for men,2025-12,18,1397.5,0.987,False
highlighters,2025-08,19,418.0,0.955,False
another simple favor,2025-05,19,8733.0,0.998,False
aa batteries,2025-11,19,39.0,0.513,False
nad supplement,2025-01,19,129.5,0.853,False
fall decor,2025-09,19,3181.0,0.994,False
portable air conditioners,2025-06,19,1720.0,0.989,False
severance,2025-03,19,2723.5,0.993,False
landman,2025-02,19,111.5,0.83,False
the last of us,2025-04,19,3364.0,0.994,False
backpack,2025-08,20,383.5,0.948,False
tinnitus relief,2025-11,20,139.0,0.856,False
sonic the hedgehog 3,2025-02,20,179.5,0.889,False
gifts for women,2025-12,20,942.0,0.979,False
tattoo cover up patch,2025-09,20,57.0,0.649,False
yellowstone,2025-01,20,639.0,0.969,False
beach vacation clothes for women,2025-03,21,885.5,0.976,False
halloween costumes for women adult,2025-10,21,22283.0,0.999,False
nintendo switch 2,2025-07,21,82.0,0.744,False
stocking stuffers,2025-11,21,14197.0,0.999,False
methylene blue drops,2025-08,21,111.0,0.811,False
tooth repair kit,2025-06,21,101.5,0.793,False
nerve savior for neuropathy,2025-01,21,193.0,0.891,False
yellowjackets,2025-02,22,1731.0,0.987,False
lego,2025-10,22,62.5,0.648,False
elf,2025-12,22,667.0,0.967,False
methylene blue,2025-07,22,61.0,0.639,False
sonic the hedgehog 3,2025-01,22,179.5,0.877,False
xxx-videos,2025-09,22,193.0,0.886,False
nasal strips for snoring,2025-02,23,842.0,0.973,False
women blouses,2025-05,23,19484.5,0.999,False
mrbeast,2025-01,23,6832.5,0.997,False
medicube,2025-07,23,74.5,0.691,False
candle warmer lamp,2025-12,23,290.5,0.921,False
kava kava,2025-10,23,197.0,0.883,False
south park,2025-08,23,574.0,0.96,False
yellowjackets,2025-03,23,1731.0,0.987,False
the better sister series,2025-06,23,3809.5,0.994,False
wheel of time,2025-03,24,3494.5,0.993,False
xxx-videos,2025-10,24,193.0,0.876,False
garden clearance deals,2025-06,24,1013.0,0.976,False
dexter,2025-07,24,441.0,0.946,False
garden clearance deals,2025-05,24,1013.0,0.976,False
pheromone cologne for men,2025-01,24,131.0,0.817,False
tattoo cover up patch,2025-04,24,57.0,0.579,False
g20,2025-04,25,11365.0,0.998,False
mobland,2025-05,25,2153.5,0.988,False
my fault: london,2025-02,25,917.0,0.973,False
gen v,2025-10,25,3400.0,0.993,False
white elephant gifts,2025-12,25,28460.0,0.999,False
patio deals,2025-07,26,137.5,0.811,False
kava kava,2025-01,26,197.0,0.868,False
christmas,2025-11,26,7555.0,0.997,False
halloween decorations outdoor,2025-09,26,9058.0,0.997,False
headphones,2025-07,27,59.5,0.546,False
methylene blue pharmaceutical grade,2025-05,27,2979.0,0.991,False
gen v,2025-09,27,3400.0,0.992,False
silicone scar sheets,2025-01,27,336.5,0.92,False
heated blanket,2025-11,27,790.5,0.966,False
nerve savior for neuropathy,2025-04,27,193.0,0.86,False
wedding guest dress,2025-08,27,240.5,0.888,False
mission impossible,2025-06,28,571.0,0.951,False
ps5,2025-11,28,119.0,0.765,False
bee venom cream,2025-10,28,9599.0,0.997,False
the accountant,2025-05,28,2195.5,0.987,False
nasal strips for snoring,2025-01,28,842.0,0.967,False
headphones,2025-08,28,59.5,0.529,False
the white lotus,2025-03,28,3324.5,0.992,False
christmas tree,2025-12,28,2944.5,0.99,False
airpods pro 2,2025-07,29,234.0,0.876,False
invincible,2025-05,29,175.5,0.835,False
reacher,2025-01,29,139.5,0.792,False
nmnh,2025-12,29,7038.5,0.996,False
tooth repair kit,2025-04,30,101.5,0.704,False
nintendo switch 2,2025-11,30,82.0,0.634,False
methylene blue drops,2025-09,30,111.0,0.73,False
den of thieves,2025-03,30,11567.5,0.997,False
methylene blue drops,2025-05,30,111.0,0.73,False
gladiator ii,2025-01,30,1815.0,0.983,False
xxx-videos,2025-12,30,193.0,0.845,False
tranexamic acid serum,2025-10,30,6171.0,0.995,False
pokemon cards,2025-12,31,70.5,0.56,False
medicube,2025-11,31,74.5,0.584,False
backpack,2025-07,31,383.5,0.919,False
akkermansia probiotic,2025-02,31,282.0,0.89,False
women blouses,2025-06,31,19484.5,0.998,False
walking pad,2025-01,32,120.5,0.734,False
methylene blue capsules,2025-09,32,677.0,0.953,False
dexter,2025-08,32,441.0,0.927,False
we were liars series,2025-07,32,537.0,0.94,False
nail biting treatment for kids,2025-10,32,158.0,0.797,False
neck lift tape,2025-12,32,208.0,0.846,False
pokemon cards,2025-02,32,70.5,0.546,False
anora,2025-03,32,15361.5,0.998,False
christmas lights,2025-11,32,8248.0,0.996,False
crocs,2025-07,33,96.0,0.656,False
how to train your dragon,2025-06,33,536.5,0.938,False
a simple favor,2025-05,33,14683.5,0.998,False
tinnitus relief,2025-04,33,139.0,0.763,False
culpa nuestra,2025-10,33,61803.0,0.999,False
nerve savior for neuropathy,2025-09,33,193.0,0.829,False
amazon gift cards physical,2025-12,34,2778.0,0.988,False
shoe rack,2025-08,34,82.0,0.585,False
dexter,2025-01,34,441.0,0.923,False
tv,2025-11,34,135.5,0.749,False
tattoo cover up,2025-04,34,187.5,0.819,False
kava kava,2025-03,34,197.0,0.827,False
instant face lift cream,2025-06,34,92.0,0.63,False
pokemon cards,2025-03,35,70.5,0.504,False
tinnitus relief,2025-10,35,139.0,0.748,False
patio deals,2025-04,35,137.5,0.745,False
desk,2025-08,35,70.5,0.504,False
ring doorbell,2025-07,35,86.5,0.595,False
humidifiers for bedroom,2025-01,35,364.0,0.904,False
wrapping paper,2025-12,35,4243.0,0.992,False
urolithin a,2025-02,35,1028.5,0.966,False
vanity,2025-11,35,73.0,0.521,False
plus size dresses,2025-05,36,3194.5,0.989,False
severance,2025-02,36,2723.5,0.987,False
plus size dresses,2025-06,36,3194.5,0.989,False
nad,2025-08,36,401.0,0.91,False
ps5 controller,2025-11,36,117.5,0.694,False
tooth repair kit,2025-10,36,101.5,0.645,False
xxx-videos,2025-11,37,193.0,0.808,False
stocking stuffers for men,2025-12,37,54979.5,0.999,False
heated blanket,2025-01,37,790.5,0.953,False
christmas decorations,2025-10,37,10112.5,0.996,False
mini fridge,2025-07,37,96.5,0.617,False
homecoming dresses,2025-09,37,15120.0,0.998,False
pet hair remover for laundry,2025-03,37,207.0,0.821,False
mothers day gifts,2025-04,37,33058.0,0.999,False
italian dress,2025-06,37,506.0,0.927,False
pheromones perfumes for women,2025-10,38,127.0,0.701,False
reacher,2025-05,38,139.5,0.728,False
halloween decor,2025-09,38,33624.5,0.999,False
easter basket,2025-04,38,12187.5,0.997,False
lunch box,2025-08,38,733.0,0.948,False
alexa,2025-11,38,124.5,0.695,False
sinners,2025-07,38,970.0,0.961,False
zeolite detox,2025-06,38,112.5,0.662,False
sunrise on the reaping,2025-03,39,4642.5,0.992,False
hand warmers,2025-12,39,1914.0,0.98,False
pens,2025-08,39,186.5,0.791,False
tattoo cover up,2025-11,39,187.5,0.792,False
the last of us,2025-05,39,3364.0,0.988,False
bmf,2025-07,39,7492.0,0.995,False
overcompensating,2025-05,40,2300.0,0.983,False
hair perfume,2025-11,40,402.0,0.9,False
methylene blue capsules,2025-10,40,677.0,0.941,False
fan,2025-06,40,320.0,0.875,False
kava kava,2025-02,40,197.0,0.797,False
nerve savior for neuropathy,2025-12,40,193.0,0.793,False
mini fridge,2025-08,40,96.5,0.585,False
t,2025-08,41,1040.0,0.961,False
minecraft,2025-07,41,327.5,0.875,False
beats headphones,2025-11,41,120.0,0.658,False
varicose veins treatment for legs,2025-10,41,140.5,0.708,False
ps5 controller,2025-12,41,117.5,0.651,False
beach vacation clothes for women,2025-04,41,885.5,0.954,False
paw patrol,2025-02,41,88.0,0.534,False
boho tops for women,2025-08,42,3054.5,0.986,False
the grinch (2018),2025-12,42,1838.5,0.977,False
glp-1,2025-09,42,112.5,0.627,False
methylene blue capsules,2025-05,42,677.0,0.938,False
paw patrol,2025-01,43,88.0,0.511,False
the chi,2025-06,43,2588.5,0.983,False
zeolite detox,2025-09,43,112.5,0.618,False
pet hair remover for laundry,2025-04,43,207.0,0.792,False
summer dresses for women 2025,2025-07,43,572.5,0.925,False
airpods pro 3,2025-11,44,114992.0,1.0,False
zeolite detox,2025-07,44,112.5,0.609,False
the white lotus,2025-04,44,3324.5,0.987,False
blink twice,2025-02,44,3346.5,0.987,False
pheromone cologne for men,2025-03,45,131.0,0.656,False
love island,2025-06,45,5960.0,0.992,False
tv,2025-07,45,135.5,0.668,False
melatonin gummies,2025-02,45,1197.5,0.962,False
dresses for women 2025 elegant classy,2025-05,45,9860.0,0.995,False
dog toys,2025-12,45,472.5,0.905,False
smelling salts,2025-03,46,630.0,0.927,False
smelling salts,2025-01,46,630.0,0.927,False
pencil case,2025-07,46,1063.0,0.957,False
wheel of time,2025-04,46,3494.5,0.987,False
jurassic world rebirth,2025-08,46,1993.0,0.977,False
neck lift tape,2025-10,46,208.0,0.779,False
bee venom skin treatment cream,2025-11,46,3851.0,0.988,False
tattoo cover up makeup,2025-09,46,1214.5,0.962,False
the chi,2025-07,47,2588.5,0.982,False
harlem,2025-02,47,11488.0,0.996,False
neck lift tape,2025-11,47,208.0,0.774,False
tattoo cover up makeup,2025-10,47,1214.5,0.961,False
bosch,2025-04,47,1216.0,0.961,False
pheromone cologne for men,2025-12,47,131.0,0.641,False
yellowjackets,2025-04,48,1731.0,0.972,False
bmf,2025-06,48,7492.0,0.994,False
varicose veins treatment for legs,2025-08,48,140.5,0.658,False
gaming chair,2025-11,48,147.5,0.675,False
silicone scar sheets,2025-10,48,336.5,0.857,False
ipad 10th generation case,2025-01,48,868.5,0.945,False
yellowstone,2025-02,48,639.0,0.925,False
teacher appreciation gifts,2025-05,49,30024.0,0.998,False
highlighters,2025-07,49,418.0,0.883,False
gaming chair,2025-12,49,147.5,0.668,False
tonsil stone mouthwash,2025-02,49,509.0,0.904,False
apple watch bands,2025-10,49,1682.0,0.971,False
the accountant 2,2025-06,49,3402.0,0.986,False
digital camera,2025-11,49,104.0,0.529,False
glp-1,2025-03,49,112.5,0.564,False
pheromones perfumes for women,2025-08,50,127.0,0.606,False
nad,2025-01,50,401.0,0.875,False
christmas pajamas,2025-12,50,5155.5,0.99,False
varicose veins cream,2025-09,50,11492.0,0.996,False
portable fan,2025-06,50,1103.5,0.955,False
the substance,2025-02,50,2640.0,0.981,False
smelling salts,2025-04,50,630.0,0.921,False
stem cell serum for face,2025-10,51,187.5,0.728,False
urolithin a,2025-08,51,1028.5,0.95,False
den of thieves,2025-01,51,11567.5,0.996,False
the final destination,2025-05,51,3884.0,0.987,False
lego sets,2025-12,51,428.0,0.881,False
dog man,2025-03,51,3617.5,0.986,False
easter candy,2025-04,51,13746.5,0.996,False
t,2025-07,51,1040.0,0.951,False
pimple patches,2025-09,52,106.0,0.509,False
my fault: london,2025-03,52,917.0,0.943,False
winter clothing for women,2025-10,53,2337.0,0.977,False
candle warmer lamp,2025-11,53,290.5,0.818,False
patio deals,2025-06,53,137.5,0.615,False
pet hair remover for laundry,2025-05,53,207.0,0.744,False
nad,2025-02,53,401.0,0.868,False
re,2025-03,53,3601.0,0.985,False
landman,2025-03,54,111.5,0.516,False
beats headphones,2025-07,54,120.0,0.55,False
tinnitus relief,2025-08,54,139.0,0.612,False
walking pad,2025-02,54,120.5,0.552,False
hand warmers,2025-01,54,1914.0,0.972,False
nail biting treatment for kids,2025-05,54,158.0,0.658,False
the wild robot,2025-01,55,7475.5,0.993,False
uggs,2025-10,55,457.5,0.88,False
roblox gift card,2025-12,55,222.5,0.753,False
summer dresses for women 2025,2025-04,55,572.5,0.904,False
south park,2025-09,55,574.0,0.904,False
apple watch bands,2025-08,55,1682.0,0.967,False
the chi,2025-05,55,2588.5,0.979,False
jurassic park,2025-02,55,617.0,0.911,False
uggs,2025-11,55,457.5,0.88,False
christmas decorations,2025-12,56,10112.5,0.994,False
nmn,2025-02,56,1440.5,0.961,False
neck wrinkle patches,2025-04,56,311.0,0.82,False
neck wrinkle patches,2025-06,56,311.0,0.82,False
nad+,2025-09,56,16573.5,0.997,False
duplicity,2025-03,56,10216.0,0.995,False
south park,2025-07,56,574.0,0.902,False
pencil pouch,2025-08,56,2676.5,0.979,False
pheromones perfumes for women,2025-01,56,127.0,0.559,False
molecular hydrogen,2025-04,57,43581.5,0.999,False
yellowstone,2025-03,57,639.0,0.911,False
neck massager,2025-12,57,376.5,0.849,False
stye eye treatment,2025-05,57,269.5,0.788,False
elf on the shelf,2025-11,57,25854.0,0.998,False
jansport backpack,2025-08,57,2434.5,0.977,False
twister,2025-03,58,1721.5,0.966,False
ice maker,2025-07,58,230.5,0.748,False
hydrogen tablets for drinking water,2025-06,58,963.5,0.94,False
gift cards,2025-12,58,351.5,0.835,False
pheromones perfumes for women,2025-06,59,127.0,0.535,False
gladiator,2025-01,59,3145.5,0.981,False
superman,2025-08,59,2633.0,0.978,False
the pitt,2025-04,59,1015.0,0.942,False
the white lotus,2025-02,59,3324.5,0.982,False
stocking stuffers,2025-10,59,14197.0,0.996,False
stocking stuffers for women,2025-12,59,34224.0,0.998,False
apple watch bands,2025-09,59,1682.0,0.965,False
liquid iv,2025-07,59,121.0,0.512,False
you're cordially invited,2025-02,60,10896.0,0.994,False
kindle paperwhite,2025-07,60,219.0,0.726,False
corset,2025-10,60,2760.5,0.978,False
cat deterrent spray,2025-01,60,262.0,0.771,False
i,2025-03,60,2254.0,0.973,False
bmf,2025-08,60,7492.0,0.992,False
beach vacation clothes for women,2025-02,61,885.5,0.931,False
hydrojug,2025-07,61,213.5,0.714,False
nmnh,2025-11,61,7038.5,0.991,False
dexter,2025-09,61,441.0,0.862,False
neck wrinkle patches,2025-05,61,311.0,0.804,False
dresser for bedroom,2025-03,61,184.5,0.669,False
toys,2025-11,62,483.5,0.872,False
women blouses,2025-07,62,19484.5,0.997,False
pool,2025-06,62,2992.0,0.979,False
elf on the shelf,2025-12,62,25854.0,0.998,False
black corset,2025-10,62,17522.5,0.996,False
gladiator ii,2025-02,62,1815.0,0.966,False
dexter,2025-02,63,441.0,0.857,False
maxtonhall,2025-11,63,14168.0,0.996,False
tankinis,2025-05,63,3471.0,0.982,False
christmas tree,2025-10,64,2944.5,0.978,False
lego sets,2025-11,64,428.0,0.85,False
digital picture frame,2025-12,64,1371.0,0.953,False
pheromone cologne for men,2025-02,64,131.0,0.511,False
the substance,2025-03,65,2640.0,0.975,False
dresser for bedroom,2025-02,65,184.5,0.648,False
hydrogen tablets for drinking water,2025-04,65,963.5,0.933,False
gifts for mom,2025-12,65,6741.0,0.99,False
kinesiology tape for shoulder,2025-09,65,149.5,0.565,False
countdown,2025-07,65,13326.5,0.995,False
we were liars series,2025-06,65,537.0,0.879,False
tattoo cover up,2025-05,66,187.5,0.648,False
candy,2025-10,66,204.5,0.677,False
tablet,2025-11,66,194.0,0.66,False
jansport backpack,2025-07,66,2434.5,0.973,False
ipad 10th generation case,2025-02,66,868.5,0.924,False
stem cell serum for face,2025-09,66,187.5,0.648,False
switch 2,2025-07,67,289.0,0.768,False
wedding guest dress,2025-04,67,240.5,0.721,False
outdoor christmas decorations,2025-11,67,19097.0,0.996,False
blink twice,2025-01,67,3346.5,0.98,False
tattoo cover up,2025-12,67,187.5,0.643,False
airpods pro 3,2025-10,67,114992.0,0.999,False
patio deals,2025-05,68,137.5,0.505,False
advent calendar 2025,2025-10,68,218.0,0.688,False
lioness,2025-01,68,1849.5,0.963,False
boho tops for women,2025-07,68,3054.5,0.978,False
sinners,2025-04,68,970.0,0.93,False
sol de janeiro,2025-11,68,216.5,0.686,False
fall decor,2025-08,68,3181.0,0.979,False
mufasa: the lion king,2025-02,69,27081.5,0.997,False
red one,2025-01,69,2269.5,0.97,False
a minecraft movie with jack black,2025-05,69,6411.0,0.989,False
sonic the hedgehog 3,2025-04,69,179.5,0.616,False
switch 2,2025-06,69,289.0,0.761,False
3d printer,2025-11,70,370.0,0.811,False
slippers for women,2025-12,70,561.0,0.875,False
stem cell serum for face,2025-08,70,187.5,0.627,False
magnetic eyelashes with applicator,2025-05,70,272.0,0.743,False
christmas movies free to me prime video,2025-12,71,20589.0,0.997,False
heating pad,2025-01,71,166.0,0.572,False
nad,2025-07,71,401.0,0.823,False
airpods 4,2025-11,71,844.0,0.916,False
the gorge,2025-03,71,1662.0,0.957,False
airpods pro 3,2025-09,71,114992.0,0.999,False
invincible,2025-06,72,175.5,0.59,False
humidifier,2025-01,72,806.0,0.911,False
portable air conditioners,2025-07,72,1720.0,0.958,False
christmas tree skirt,2025-11,72,25176.0,0.997,False
raising kansan,2025-05,72,25216.0,0.997,False
magnetic eyelashes with applicator,2025-04,72,272.0,0.735,False
rumi costume kids,2025-10,73,4679.0,0.984,False
let them book mel robbins,2025-01,73,1346.0,0.946,False
christmas wrapping paper,2025-12,73,28927.0,0.997,False
hand warmers,2025-11,73,1914.0,0.962,False
cooling blanket,2025-06,73,1776.0,0.959,False
magnesium lotion for kids,2025-05,73,860.5,0.915,False
hazbin hotel,2025-10,74,1014.5,0.927,False
twister,2025-04,74,1721.5,0.957,False
neck wrinkle patches,2025-02,74,311.0,0.762,False
weighted vest woman,2025-07,74,319.0,0.768,False
legos,2025-12,74,789.0,0.906,False
ingrown toenail treatment,2025-01,74,204.0,0.637,False
